ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.01,1.4,Todd Gurley,RB,LAR,227,0.7,1,5,12
1.02,2.1,LeVeon Bell,RB,PIT,175,0.8,1,5,7
1.03,2.8,David Johnson,RB,ARI,230,0.7,1,6,9
1.05,4.7,Ezekiel Elliott,RB,DAL,324,1.8,1,12,8
1.05,5.0,Antonio Brown,WR,PIT,289,1.3,1,9,7
1.06,6.1,Alvin Kamara,RB,NO,254,1.3,3,11,6
1.07,6.9,Saquon Barkley,RB,NYG,247,1.7,2,11,9
1.08,8.4,Melvin Gordon,RB,LAC,197,1.6,4,12,8
1.09,9.3,Leonard Fournette,RB,JAX,234,2.1,4,15,9
1.09,9.4,DeAndre Hopkins,WR,HOU,281,2.1,3,15,10
1.11,11.2,Odell Beckham Jr,WR,NYG,232,1.8,6,17,9
1.11,11.4,Kareem Hunt,RB,KC,300,2.0,6,18,12
2.01,12.7,Christian McCaffrey,RB,CAR,301,2.2,7,19,4
2.02,14.2,Julio Jones,WR,ATL,258,1.9,9,19,8
2.04,15.6,Michael Thomas,WR,NO,232,1.9,12,22,6
2.04,15.7,Dalvin Cook,RB,MIN,279,2.3,9,23,10
2.05,17.4,Keenan Allen,WR,LAC,231,2.6,10,23,8
2.06,18.3,Davante Adams,WR,GB,259,2.2,12,24,7
2.07,19.1,Devonta Freeman,RB,ATL,254,2.5,12,26,8
2.08,20.1,Jordan Howard,RB,CHI,251,2.5,13,28,5
2.09,20.9,Rob Gronkowski,TE,NE,230,3.2,13,30,11
2.10,21.6,A.J. Green,WR,CIN,313,2.3,15,29,9
2.11,23.1,Joe Mixon,RB,CIN,216,3.3,14,32,9
2.12,23.9,Tyreek Hill,WR,KC,239,2.7,16,31,12
3.02,25.8,Mike Evans,WR,TB,189,3.0,17,35,5
3.02,26.4,Stefon Diggs,WR,MIN,251,2.5,21,36,10
3.04,27.6,T.Y. Hilton,WR,IND,198,2.5,21,36,9
3.04,28.2,Travis Kelce,TE,KC,179,3.7,18,38,12
3.05,29.3,Royce Freeman,RB,DEN,222,4.2,18,43,10
3.06,30.0,LeSean McCoy,RB,BUF,224,4.2,19,43,11
3.07,30.6,Amari Cooper,WR,OAK,221,3.3,24,41,7
3.07,31.2,Aaron Rodgers,QB,GB,190,6.3,14,43,7
3.07,31.2,Alex Collins,RB,BAL,261,3.9,20,43,10
3.09,33.0,Kenyan Drake,RB,MIA,286,4.6,21,47,11
3.10,33.9,Adam Thielen,WR,MIN,269,4.0,23,44,10
3.11,34.7,Larry Fitzgerald,WR,ARI,277,4.7,22,47,9
4.02,38.0,Doug Baldwin,WR,SEA,221,4.2,27,47,7
