ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
1.01,1.4,Todd Gurley,RB,LAR,253,0.6,1,4,12
1.03,2.5,LeVeon Bell,RB,PIT,259,0.8,1,4,7
1.03,3.4,Ezekiel Elliott,RB,DAL,163,1.3,1,7,8
1.04,3.7,David Johnson,RB,ARI,269,1.2,1,9,9
1.05,5.5,Saquon Barkley,RB,NYG,197,1.4,1,10,9
1.06,6.5,Antonio Brown,WR,PIT,231,1.4,3,11,7
1.07,6.9,Alvin Kamara,RB,NO,253,1.6,2,11,6
1.08,7.9,Leonard Fournette,RB,JAX,291,1.7,3,12,9
1.09,8.9,Melvin Gordon,RB,LAC,310,1.7,4,14,8
1.10,10.1,Kareem Hunt,RB,KC,265,2.0,5,16,12
1.11,11.0,DeAndre Hopkins,WR,HOU,268,1.8,6,16,10
1.12,12.5,Odell Beckham Jr,WR,NYG,253,2.1,7,17,9
2.01,13.2,Dalvin Cook,RB,MIN,249,2.0,8,18,10
2.02,13.9,Christian McCaffrey,RB,CAR,291,1.9,9,19,4
2.03,15.1,Julio Jones,WR,ATL,256,2.3,9,22,8
2.04,15.9,Jordan Howard,RB,CHI,240,2.5,9,22,5
2.05,17.1,Devonta Freeman,RB,ATL,233,2.3,11,23,8
2.06,18.0,Michael Thomas,WR,NO,278,2.2,12,25,6
2.07,19.0,Davante Adams,WR,GB,275,2.5,12,27,7
2.08,20.4,Keenan Allen,WR,LAC,244,2.2,14,27,8
2.09,20.9,Joe Mixon,RB,CIN,223,3.0,14,29,9
2.09,21.1,Rob Gronkowski,TE,NE,263,3.3,12,29,11
2.11,22.9,A.J. Green,WR,CIN,278,2.5,16,31,9
2.12,24.0,Derrick Henry,RB,TEN,142,3.5,15,32,8
3.01,24.8,Alex Collins,RB,BAL,205,3.2,18,35,10
3.03,27.0,Tyreek Hill,WR,KC,238,3.2,18,36,12
3.03,27.1,Mike Evans,WR,TB,181,2.7,21,34,5
3.04,28.1,Stefon Diggs,WR,MIN,190,3.1,20,37,10
3.05,28.5,LeSean McCoy,RB,BUF,243,4.0,18,41,11
3.06,30.0,Royce Freeman,RB,DEN,273,3.9,19,42,10
3.06,30.3,Aaron Rodgers,QB,GB,220,5.1,17,48,7
3.06,30.4,T.Y. Hilton,WR,IND,259,3.4,21,41,9
3.09,32.7,Jerick McKinnon,RB,SF,148,4.0,22,42,11
3.09,32.9,Travis Kelce,TE,KC,218,4.2,22,42,12
3.10,34.4,Kenyan Drake,RB,MIA,329,4.2,23,47,11
3.11,34.5,Lamar Miller,RB,HOU,310,4.2,24,45,10
3.12,36.3,Doug Baldwin,WR,SEA,200,4.3,25,49,7
3.12,36.4,Amari Cooper,WR,OAK,252,4.0,26,47,7
4.02,37.8,Adam Thielen,WR,MIN,242,4.2,26,51,10
4.04,39.7,Jay Ajayi,RB,PHI,243,4.5,27,48,9
4.05,40.6,JuJu Smith-Schuster,WR,PIT,211,4.1,30,49,7
4.06,41.8,Deshaun Watson,QB,HOU,156,6.0,26,62,10
4.06,42.5,Larry Fitzgerald,WR,ARI,196,3.7,32,55,9
4.07,42.6,Marshawn Lynch,RB,OAK,219,4.3,31,55,7
4.07,43.1,Josh Gordon,WR,CLE,180,5.7,28,56,11
4.08,44.5,Mark Ingram,RB,NO,233,4.9,34,60,6
4.09,44.5,Zach Ertz,TE,PHI,218,5.9,29,56,9
4.10,45.8,Chris Hogan,WR,NE,242,4.9,33,58,11
4.12,47.7,Carlos Hyde,RB,CLE,280,5.6,33,60,11
5.01,49.0,Jimmy Graham,TE,GB,144,5.9,33,62,7
5.01,49.3,Brandin Cooks,WR,LAR,203,4.9,36,63,12
5.04,52.1,Demaryius Thomas,WR,DEN,196,4.8,39,69,10
5.05,52.6,Tom Brady,QB,NE,179,7.5,33,72,11
5.05,53.2,Jarvis Landry,WR,CLE,221,5.2,39,67,11
5.06,53.5,Jamaal Williams,RB,GB,289,6.1,37,70,7
5.06,53.7,Kerryon Johnson,RB,DET,215,6.2,37,71,6
5.06,54.1,Marquise Goodwin,WR,SF,237,5.2,40,68,11
5.09,56.7,Allen Robinson,WR,CHI,207,5.4,42,73,5
5.10,58.3,Marvin Jones,WR,DET,218,4.9,45,73,6
5.10,58.5,Russell Wilson,QB,SEA,158,7.1,40,72,7
5.11,58.7,Rex Burkhead,RB,NE,198,6.6,41,76,11
5.12,60.1,Chris Carson,RB,SEA,246,6.9,42,83,7
5.12,60.3,Greg Olsen,TE,CAR,146,7.2,41,75,4
6.02,62.2,Dion Lewis,RB,TEN,185,6.6,45,83,8
6.04,64.1,Drew Brees,QB,NO,136,6.9,46,80,6
6.05,65.1,Corey Davis,WR,TEN,225,5.7,50,82,8
6.06,65.8,Golden Tate,WR,DET,216,5.8,50,83,6
6.07,66.7,Cam Newton,QB,CAR,124,7.8,46,84,4
6.07,67.0,Trey Burton,TE,CHI,153,5.8,54,83,5
6.08,67.9,Peyton Barber,RB,TB,313,7.9,47,97,5
6.08,67.9,Will Fuller,WR,HOU,201,6.0,52,92,10
6.10,69.8,Emmanuel Sanders,WR,DEN,240,6.4,53,86,10
7.01,72.6,Tevin Coleman,RB,ATL,208,7.9,52,92,8
7.01,73.5,Evan Engram,TE,NYG,125,7.7,53,92,9
7.04,75.5,Alshon Jeffery,WR,PHI,149,7.4,56,101,9
